"","NUMPC","TVCOLOR","INTRR","MONEYPY","TVRR","FUELRR","TOTSQFT","NHSLDMEM"
"2207",1,2,1,11,3,"Electricity",1334,1
"2208",1,2,1,10,4,"Electricity",1092,2
"2209",1,2,1,15,2,"Electricity",3484,2
"2210",2,4,1,9,3,"Electricity",2093,2
"2211",1,3,0,2,4,"Electricity",442,2
"2212",3,5,1,23,2,"Electricity",4514,5
"2213",3,6,1,20,3,"Electricity",1480,4
"2214",2,2,1,24,3,"Natural Gas",2916,2
"2215",1,2,1,20,4,"Electricity",915,2
"2216",3,2,1,10,5,"Natural Gas",812,4
"2217",2,1,1,11,2,"Electricity",1824,1
"2218",3,3,1,15,2,"Propane",4496,3
"2219",2,1,1,11,3,"Natural Gas",2244,1
"2220",4,4,1,21,2,"Natural Gas",2673,8
"2221",0,2,NA,7,4,"Natural Gas",881,2
"2222",1,1,1,5,5,"Propane",144,1
"2223",0,1,NA,13,3,"Natural Gas",690,2
"2224",2,5,1,24,4,"Natural Gas",6091,5
"2225",3,4,1,13,4,"Natural Gas",1638,2
"2226",0,3,NA,15,4,"Natural Gas",2322,2
"2227",1,3,1,15,2,"Natural Gas",2880,1
"2228",1,1,1,15,3,"Electricity",1204,4
"2229",4,2,1,1,3,"Natural Gas",2342,4
"2230",1,3,1,7,5,"Natural Gas",2080,3
"2231",1,2,1,22,3,"Electricity",3096,2
"2232",0,2,NA,8,3,"Natural Gas",1055,1
"2233",0,2,NA,7,4,NA,841,4
"2234",1,1,1,11,3,"Natural Gas",1730,3
"2235",1,1,1,21,3,"Natural Gas",3761,3
"2236",0,1,NA,8,4,"Electricity",1344,2
"2237",1,3,1,11,3,"Natural Gas",2132,1
"2238",2,3,1,18,3,"Fuel Oil",4431,5
"2239",1,2,1,15,3,"Natural Gas",2860,1
"2240",2,4,1,7,4,"Electricity",608,3
"2241",2,4,1,20,3,"Natural Gas",1839,1
"2242",0,2,NA,7,2,"Electricity",1283,4
"2243",3,1,1,23,2,"Electricity",2210,6
"2244",1,2,1,12,2,"Natural Gas",1676,1
"2245",3,3,1,24,3,"Natural Gas",4899,2
"2246",0,1,NA,10,3,"Electricity",458,1
"2247",1,3,1,9,2,"Fuel Oil",2700,3
"2248",2,2,1,19,3,"Electricity",2729,2
"2249",1,2,1,8,4,"Natural Gas",1176,1
"2250",1,1,1,12,3,"Natural Gas",517,1
"2251",1,2,1,16,2,"Natural Gas",1950,2
"2252",1,1,1,8,2,"Electricity",760,2
"2253",2,4,1,6,4,"Electricity",1101,2
"2254",1,4,1,11,1,"Natural Gas",2400,4
"2255",1,4,1,19,5,"Fuel Oil",2121,3
"2256",1,1,1,6,4,"Natural Gas",1080,2
"2257",0,4,NA,13,5,"Electricity",1736,4
"2258",0,2,NA,8,4,"Electricity",4536,7
"2259",0,3,NA,4,4,"Natural Gas",1073,2
"2260",2,2,1,9,3,"Electricity",840,3
"2261",1,2,1,15,3,"Natural Gas",2236,2
"2262",1,1,1,17,3,"Natural Gas",1872,3
"2263",1,3,1,20,2,"Natural Gas",1331,4
"2264",1,2,1,24,2,"Natural Gas",4875,2
"2265",1,2,1,9,4,"Electricity",1011,4
"2266",1,1,1,15,3,"Electricity",915,3
"2267",1,3,0,7,4,"Natural Gas",725,5
"2268",1,2,1,12,2,"Electricity",893,1
"2269",1,4,1,17,3,"Natural Gas",2772,2
"2270",2,3,1,15,4,"Natural Gas",2080,4
"2271",2,2,1,23,2,"Natural Gas",2332,3
"2272",2,4,1,17,3,"Natural Gas",2030,2
"2273",2,2,1,23,2,"Natural Gas",2615,4
"2274",1,2,1,23,3,"Natural Gas",3060,2
"2275",2,1,1,24,2,"Natural Gas",1529,2
"2276",0,3,NA,8,5,"Electricity",1845,1
"2277",0,1,NA,9,5,"Natural Gas",1856,1
"2278",2,0,1,22,NA,"Propane",544,1
"2279",2,6,1,18,3,"Propane",7206,2
"2280",0,2,NA,8,1,"Electricity",1568,1
"2281",1,3,1,1,3,"Electricity",1728,1
"2282",1,4,1,6,5,"Natural Gas",980,4
"2283",1,2,1,12,3,"Fuel Oil",1789,5
"2284",0,2,NA,6,4,"Electricity",698,4
"2285",2,4,1,10,3,"Electricity",2794,2
"2286",4,4,1,2,4,"Electricity",1023,4
"2287",1,2,1,9,4,"Natural Gas",2456,1
"2288",0,1,NA,21,2,"Electricity",854,1
"2289",1,1,1,5,2,"Electricity",200,1
"2290",1,2,1,16,3,"Fuel Oil",674,1
"2291",2,4,1,21,3,"Natural Gas",1330,5
"2292",5,4,1,19,4,"Natural Gas",2392,4
"2293",2,6,1,18,4,"Electricity",3288,3
"2294",0,2,NA,17,2,"Electricity",952,2
"2295",2,2,1,24,2,"Electricity",1552,2
"2296",1,2,0,10,3,"Electricity",797,1
"2297",2,4,1,7,4,"Electricity",1008,3
"2298",0,3,NA,11,3,"Electricity",3800,2
"2299",2,3,1,24,5,"Electricity",1286,2
"2300",3,4,1,12,4,"Natural Gas",2150,3
"2301",2,2,1,5,3,"Fuel Oil",921,4
"2302",1,3,1,23,3,"Natural Gas",3951,2
"2303",3,7,1,24,3,"Natural Gas",2942,2
"2304",1,1,1,9,2,"Propane",1317,1
"2305",1,3,1,7,4,"Natural Gas",1372,3
"2306",2,2,1,12,4,"Electricity",1728,2
"2307",0,1,NA,2,5,"Natural Gas",372,1
"2308",2,2,1,14,3,"Natural Gas",1004,2
"2309",0,2,NA,13,4,"Electricity",1470,6
"2310",1,5,1,24,5,"Natural Gas",5474,4
"2311",4,7,1,24,2,"Natural Gas",4075,4
"2312",0,2,NA,16,2,"Natural Gas",4380,1
"2313",4,3,1,14,3,"Natural Gas",3915,1
"2314",1,2,1,19,3,"Natural Gas",1200,2
"2315",2,2,1,8,2,"Natural Gas",3565,6
"2316",1,1,1,6,1,"Natural Gas",978,1
"2317",1,2,1,7,3,"Electricity",1692,3
"2318",0,2,NA,11,3,"Electricity",1768,4
"2319",2,2,1,22,4,"Natural Gas",2700,6
"2320",3,2,1,24,2,"Propane",2400,5
"2321",1,3,1,17,4,"Natural Gas",2550,4
"2322",1,1,1,8,3,"Natural Gas",624,1
"2323",2,4,1,23,3,"Natural Gas",2985,4
"2324",1,5,0,1,5,"Natural Gas",2195,5
"2325",0,2,NA,5,3,"Natural Gas",1264,2
"2326",0,5,NA,24,4,"Propane",2951,2
"2327",0,1,NA,1,2,"Electricity",870,2
"2328",1,2,1,16,3,"Natural Gas",1885,3
"2329",0,2,NA,12,3,"Natural Gas",1024,3
"2330",0,10,NA,22,2,"Natural Gas",2000,5
"2331",5,2,1,23,4,"Natural Gas",1341,5
"2332",0,1,NA,5,3,"Natural Gas",1721,3
"2333",2,2,1,24,3,"Natural Gas",3366,2
"2334",1,3,1,7,1,"Electricity",1620,1
"2335",1,2,1,21,1,"Electricity",3052,4
"2336",1,1,1,9,3,"Electricity",1800,1
"2337",1,1,1,6,2,"Electricity",902,1
"2338",2,3,1,12,4,"Natural Gas",1462,4
"2339",0,1,NA,7,3,"Electricity",672,1
"2340",1,1,1,4,3,"Fuel Oil",840,2
"2341",1,2,1,15,5,"Propane",1440,5
"2342",1,3,1,15,2,"Natural Gas",3501,3
"2343",0,2,NA,11,4,"Electricity",648,1
"2344",1,1,1,13,4,"Natural Gas",1710,4
"2345",1,4,1,11,4,"Electricity",3761,3
"2346",4,6,1,22,4,"Natural Gas",3565,3
"2347",1,3,1,12,4,"Natural Gas",1800,2
"2348",3,4,1,24,3,"Fuel Oil",2248,3
"2349",2,2,1,12,2,"Electricity",784,2
"2350",4,3,1,23,3,"Natural Gas",2297,4
"2351",0,1,NA,5,4,"Natural Gas",715,1
"2352",2,3,1,17,2,NA,801,3
"2353",0,2,NA,1,5,"Electricity",912,6
"2354",2,1,1,14,2,"Natural Gas",755,5
"2355",0,2,NA,7,3,"Electricity",5439,1
"2356",0,3,NA,6,2,"Propane",783,4
"2357",1,3,1,20,5,NA,2400,2
"2358",0,1,NA,6,5,"Natural Gas",837,2
"2359",2,3,0,12,3,"Electricity",1980,2
"2360",1,4,1,18,4,"Natural Gas",2059,6
"2361",2,2,1,8,1,"Natural Gas",1488,3
"2362",4,2,1,12,2,"Natural Gas",3712,5
"2363",1,2,1,7,3,"Electricity",705,2
"2364",1,4,1,17,4,"Electricity",878,6
"2365",0,1,NA,8,2,"Natural Gas",400,1
"2366",1,2,1,9,5,"Natural Gas",1222,1
"2367",4,3,1,20,2,"Natural Gas",3120,3
"2368",2,5,1,24,2,"Natural Gas",8121,4
"2369",1,3,1,5,3,"Electricity",1047,3
"2370",2,2,1,9,1,"Electricity",1097,2
"2371",1,2,1,22,3,"Natural Gas",2748,2
"2372",0,1,NA,1,2,"Electricity",1550,1
"2373",1,2,1,13,2,"Natural Gas",2400,3
"2374",0,2,NA,6,5,"Natural Gas",1776,2
"2375",7,6,1,24,2,"Natural Gas",3150,3
"2376",1,3,1,2,3,"Natural Gas",1700,1
"2377",1,2,1,4,3,"Natural Gas",1008,6
"2378",0,3,NA,11,3,"Electricity",2625,1
"2379",3,6,1,24,3,"Natural Gas",3496,3
"2380",1,2,1,20,3,"Fuel Oil",4432,2
"2381",3,5,1,12,4,"Natural Gas",2350,3
"2382",2,3,1,9,5,"Electricity",924,1
"2383",2,3,1,14,3,"Electricity",3023,6
"2384",0,2,NA,4,3,"Natural Gas",756,1
"2385",0,2,NA,5,4,"Electricity",1900,2
"2386",0,1,NA,7,3,"Electricity",480,1
"2387",2,2,1,1,1,"Electricity",1147,2
"2388",2,3,1,19,3,"Natural Gas",4100,5
"2389",2,3,1,24,3,"Natural Gas",1890,3
"2390",1,4,1,10,2,"Electricity",1280,3
"2391",1,1,0,7,2,"Natural Gas",487,1
"2392",1,2,1,9,5,"Electricity",1200,1
"2393",1,3,1,13,4,"Natural Gas",1125,2
"2394",1,2,1,6,3,"Electricity",4480,6
"2395",1,2,1,18,2,"Electricity",1720,3
"2396",1,2,1,24,3,"Electricity",1382,1
"2397",2,3,1,12,3,"Natural Gas",4330,2
"2398",0,1,NA,5,5,"Electricity",625,2
"2399",5,4,1,24,3,"Natural Gas",6286,3
"2400",1,5,1,8,3,"Electricity",1430,2
"2401",4,4,1,24,2,"Natural Gas",1400,3
"2402",2,1,1,13,2,"Electricity",1938,2
"2403",2,2,1,10,4,"Natural Gas",1850,3
"2404",1,1,1,4,2,"Electricity",797,1
"2405",1,4,1,21,5,"Electricity",1381,6
"2406",0,1,NA,8,2,"Electricity",1540,1
"2407",3,2,1,5,4,"Natural Gas",1032,3
"2408",3,1,1,1,2,"Natural Gas",1389,3
"2409",0,3,NA,18,3,"Propane",1288,2
"2410",0,0,NA,8,NA,"Natural Gas",1568,1
"2411",2,4,1,24,3,"Natural Gas",3316,2
"2412",2,3,1,15,3,"Natural Gas",2917,2
"2413",0,2,NA,11,4,"Solar",2040,1
"2414",0,4,NA,6,1,"Electricity",1416,4
"2415",3,3,1,23,3,"Electricity",2517,2
"2416",3,5,1,24,3,"Natural Gas",5088,2
"2417",3,2,1,24,2,"Natural Gas",1968,3
"2418",1,2,0,23,2,"Electricity",2442,1
"2419",1,2,1,9,5,"Natural Gas",1940,2
"2420",0,4,NA,5,4,"Natural Gas",2613,5
"2421",1,2,1,7,3,"Natural Gas",500,1
"2422",2,2,1,23,2,"Natural Gas",3038,2
"2423",1,1,0,13,2,"Natural Gas",1548,2
"2424",1,2,0,8,3,"Natural Gas",1920,1
"2425",4,2,1,22,5,"Natural Gas",4296,3
"2426",2,1,1,24,2,"Natural Gas",1933,2
"2427",1,1,1,6,5,NA,352,1
"2428",1,2,1,9,3,"Electricity",1094,3
"2429",1,3,1,7,3,"Propane",865,3
"2430",1,2,1,4,3,"Electricity",1790,2
"2431",2,2,1,7,4,"Electricity",990,1
"2432",1,5,1,13,4,"Natural Gas",4953,2
"2433",1,4,1,12,4,"Natural Gas",3120,3
"2434",1,3,0,6,3,"Electricity",1348,5
"2435",4,3,1,24,1,"Fuel Oil",5075,7
"2436",0,2,NA,6,3,"Electricity",840,5
"2437",2,2,1,15,3,"Natural Gas",775,2
"2438",2,1,1,23,3,"Natural Gas",5149,2
"2439",5,7,1,24,3,"Natural Gas",3600,3
"2440",1,2,1,9,3,"Electricity",1092,4
"2441",3,4,1,15,4,"Natural Gas",1363,2
"2442",1,3,1,5,3,"Electricity",931,2
"2443",3,4,1,24,3,"Fuel Oil",4157,3
"2444",0,1,NA,9,3,"Natural Gas",3401,2
"2445",0,1,NA,10,3,"Electricity",1885,2
"2446",1,1,1,12,3,"Electricity",1720,3
"2447",1,4,1,23,3,"Electricity",1404,4
"2448",2,2,1,17,2,"Natural Gas",2080,1
"2449",1,1,1,18,3,"Propane",747,1
"2450",4,4,1,24,3,"Natural Gas",5739,4
"2451",0,1,NA,11,1,"Natural Gas",2550,2
"2452",2,2,1,5,4,"Propane",1512,2
"2453",0,1,NA,8,2,"Electricity",1680,1
"2454",0,3,NA,12,2,"Natural Gas",3240,2
"2455",1,1,1,13,2,"Natural Gas",626,1
"2456",0,1,NA,5,5,"Propane",720,1
"2457",1,3,1,7,3,"Electricity",1344,3
"2458",3,5,1,24,3,"Natural Gas",4082,5
"2459",1,2,1,18,3,"Natural Gas",639,1
"2460",1,2,1,8,2,"Electricity",1750,1
"2461",1,1,1,18,1,"Natural Gas",1674,2
"2462",1,2,1,17,5,"Natural Gas",829,2
"2463",1,3,1,8,3,"Natural Gas",950,5
"2464",0,2,NA,6,5,"Natural Gas",837,2
"2465",1,2,1,14,2,"Natural Gas",1574,2
"2466",1,2,1,24,1,"Natural Gas",2469,2
"2467",1,2,0,7,4,"Natural Gas",640,3
"2468",1,1,1,2,3,"Natural Gas",1012,2
"2469",0,5,NA,5,5,"Propane",1440,9
"2470",1,5,1,17,4,"Natural Gas",3840,8
"2471",0,2,NA,4,1,"Electricity",840,2
"2472",1,1,1,11,3,"Natural Gas",3200,1
"2473",0,3,NA,18,3,"Electricity",1314,2
"2474",1,2,1,8,5,"Electricity",1500,3
"2475",0,2,NA,11,2,"Electricity",1456,1
"2476",2,5,1,20,4,"Electricity",1696,3
"2477",1,2,1,5,5,"Natural Gas",566,1
"2478",1,2,1,8,2,"Electricity",960,1
"2479",0,3,NA,7,3,"Electricity",1035,3
"2480",3,3,1,15,3,"Natural Gas",2889,3
"2481",5,3,1,24,3,"Fuel Oil",2803,3
"2482",1,1,1,14,1,"Electricity",792,1
"2483",2,2,1,18,3,"Electricity",1985,2
"2484",1,2,1,4,3,"Natural Gas",1170,5
"2485",4,6,1,15,2,"Electricity",4182,5
"2486",1,4,1,23,4,"Natural Gas",1911,4
"2487",3,4,1,8,5,"Natural Gas",1125,4
"2488",1,2,1,9,3,"Electricity",1440,7
"2489",0,2,NA,5,3,"Natural Gas",425,3
"2490",1,2,1,12,2,"Electricity",756,1
"2491",1,3,1,11,2,"Natural Gas",715,2
"2492",0,1,NA,4,5,"Electricity",3876,1
"2493",2,4,1,23,3,"Electricity",3817,3
"2494",2,4,1,12,3,"Electricity",2914,3
"2495",1,1,1,7,3,"Natural Gas",2376,1
"2496",1,4,1,24,4,"Electricity",4205,2
"2497",1,3,1,24,1,"Natural Gas",5513,5
"2498",5,3,1,22,4,"Natural Gas",1980,4
"2499",1,2,1,14,2,"Electricity",658,2
"2500",0,4,NA,7,3,"Electricity",2582,1
"2501",2,2,1,24,2,"Electricity",3923,2
"2502",1,2,1,11,4,"Natural Gas",759,3
"2503",1,2,1,12,2,"Natural Gas",2209,5
"2504",4,4,1,10,1,"Electricity",2377,4
"2505",0,1,NA,9,3,"Electricity",1186,2
"2506",1,3,1,9,4,"Electricity",840,1
"2507",3,2,1,24,3,"Propane",5807,4
"2508",1,2,1,9,3,"Electricity",312,3
"2509",1,2,1,12,2,"Electricity",1714,4
"2510",1,1,0,8,2,"Fuel Oil",2755,3
"2511",2,3,1,7,1,"Electricity",1103,1
"2512",0,1,NA,11,2,"Electricity",687,1
"2513",0,5,NA,9,5,"Electricity",4015,6
"2514",1,1,1,1,2,"Natural Gas",568,1
"2515",2,4,1,9,4,"Natural Gas",2970,3
"2516",2,3,1,12,3,"Electricity",1158,2
"2517",0,2,NA,14,3,"Electricity",1003,5
"2518",4,3,1,10,5,"Natural Gas",1288,4
"2519",1,1,1,24,2,"Natural Gas",888,2
"2520",0,1,NA,1,3,"Electricity",780,4
"2521",1,2,1,23,2,"Natural Gas",880,2
"2522",2,2,1,15,2,"Electricity",2744,2
"2523",1,1,1,13,5,"Electricity",1910,1
"2524",1,4,1,14,5,"Electricity",750,4
"2525",0,3,NA,3,4,"Electricity",1120,2
"2526",1,2,1,11,2,"Natural Gas",4496,1
"2527",0,1,NA,11,2,"Natural Gas",1040,2
"2528",3,3,1,22,2,"Electricity",2401,2
"2529",2,5,1,24,3,"Natural Gas",7413,8
"2530",1,3,1,16,3,"Natural Gas",1458,2
"2531",3,2,1,23,2,"Natural Gas",2491,5
"2532",1,3,1,12,4,"Electricity",4293,2
"2533",5,3,1,24,5,"Electricity",2354,4
"2534",0,4,NA,6,2,"Electricity",920,3
"2535",0,1,NA,5,5,"Natural Gas",700,1
"2536",1,1,0,5,2,"Electricity",1430,1
"2537",0,2,NA,7,3,"Natural Gas",666,1
"2538",1,5,1,24,3,"Propane",3063,2
"2539",3,2,1,14,3,"Electricity",792,3
"2540",2,0,0,1,NA,"Electricity",1271,8
"2541",2,3,1,4,3,"Electricity",2158,3
"2542",3,3,1,12,4,"Natural Gas",1008,2
"2543",1,2,1,7,2,"Natural Gas",1992,1
"2544",3,2,0,10,3,"Electricity",2130,2
"2545",2,2,1,22,5,"Electricity",2077,2
"2546",1,2,1,11,2,"Electricity",1185,1
"2547",1,1,1,4,4,"Natural Gas",1650,2
"2548",0,1,NA,10,3,"Electricity",3168,1
"2549",0,2,NA,6,3,"Natural Gas",935,1
"2550",0,2,NA,5,5,"Fuel Oil",1600,1
"2551",0,1,NA,1,5,"Electricity",727,2
"2552",2,1,1,4,5,"Electricity",970,2
"2553",0,1,NA,18,3,"Natural Gas",1700,4
"2554",2,8,1,24,4,"Natural Gas",10018,2
"2555",1,3,1,8,5,"Electricity",1584,4
"2556",3,2,1,17,3,"Propane",3438,4
"2557",1,0,1,13,NA,"Electricity",1144,1
"2558",2,5,1,9,3,"Electricity",1288,4
"2559",2,3,1,23,4,"Electricity",1820,3
"2560",1,1,1,4,1,"Natural Gas",653,1
"2561",2,4,1,23,2,"Electricity",4890,4
"2562",3,5,1,15,1,"Natural Gas",2592,4
"2563",2,3,1,21,2,"Fuel Oil",2928,5
"2564",1,6,1,10,3,"Natural Gas",1876,4
"2565",1,1,1,8,2,"Natural Gas",1596,1
"2566",3,3,1,12,3,"Natural Gas",1196,2
"2567",2,2,1,4,5,"Natural Gas",986,2
"2568",1,1,0,13,5,"Propane",1632,2
"2569",1,0,1,7,NA,"Electricity",747,2
"2570",0,3,NA,7,2,"Natural Gas",675,3
"2571",1,2,1,15,3,"Electricity",2511,4
"2572",4,2,1,23,3,"Natural Gas",2941,3
"2573",4,5,1,24,2,"Natural Gas",6411,4
"2574",1,2,1,6,2,"Electricity",911,6
"2575",0,3,NA,12,3,"Electricity",2654,2
"2576",1,3,1,19,4,"Natural Gas",1501,2
"2577",1,2,1,6,3,"Fuel Oil",866,2
"2578",0,1,NA,6,3,"Electricity",1392,1
"2579",3,3,1,8,2,"Natural Gas",2112,3
"2580",1,2,1,15,5,"Natural Gas",2364,2
"2581",1,5,1,24,3,"Natural Gas",4116,2
"2582",1,6,1,11,3,"Electricity",2142,6
"2583",2,5,1,23,2,"Natural Gas",2625,4
"2584",1,3,1,4,4,"Natural Gas",588,1
"2585",1,2,0,20,4,"Natural Gas",1031,4
"2586",2,5,1,10,2,"Electricity",1377,4
"2587",1,1,1,15,4,"Electricity",1300,3
"2588",1,4,1,13,4,"Natural Gas",2418,2
"2589",1,3,1,10,5,"Electricity",2784,2
"2590",1,3,1,5,3,"Propane",2050,6
"2591",1,1,1,8,3,"Natural Gas",1000,4
"2592",1,2,1,1,3,"Natural Gas",585,1
"2593",1,2,1,8,4,"Propane",4281,3
"2594",0,4,NA,3,4,"Natural Gas",1469,1
"2595",2,2,1,16,5,"Electricity",2784,2
"2596",2,2,1,9,2,"Electricity",2602,4
"2597",2,1,1,3,4,"Fuel Oil",806,3
"2598",3,2,1,19,3,"Natural Gas",1984,4
"2599",1,2,1,16,2,"Electricity",1834,2
"2600",1,1,1,18,5,"Electricity",874,1
"2601",2,5,1,23,4,"Natural Gas",4331,4
"2602",2,5,1,22,3,"Natural Gas",5766,5
"2603",0,2,NA,6,5,"Electricity",1323,2
"2604",1,4,1,24,2,"Natural Gas",4890,3
"2605",1,3,0,11,3,"Electricity",720,5
"2606",2,3,1,20,3,"Fuel Oil",3836,2
"2607",2,3,1,6,5,"Electricity",1680,4
"2608",3,5,1,24,3,"Electricity",3760,2
"2609",1,3,1,6,4,"Natural Gas",975,5
"2610",2,5,1,24,3,"Natural Gas",3888,6
"2611",1,3,1,15,4,"Natural Gas",3600,2
"2612",0,1,NA,5,3,"Propane",1929,1
"2613",0,1,NA,8,3,"Electricity",1045,1
"2614",2,2,1,14,3,"Natural Gas",1516,2
"2615",2,1,1,24,3,"Electricity",1100,2
"2616",1,3,1,7,4,"Electricity",987,3
"2617",1,3,1,23,3,"Natural Gas",2028,2
"2618",1,3,1,10,4,"Natural Gas",4290,2
"2619",0,1,NA,8,3,"Electricity",1104,2
"2620",1,2,1,12,4,"Natural Gas",2016,2
"2621",1,2,1,11,3,"Electricity",834,2
"2622",1,2,0,2,2,"Electricity",1400,2
"2623",0,2,NA,3,3,"Natural Gas",608,1
"2624",1,2,1,12,5,"Electricity",680,4
"2625",2,3,1,19,5,"Natural Gas",3744,3
"2626",1,2,1,14,5,"Electricity",2585,3
"2627",1,3,1,24,3,"Natural Gas",1770,2
"2628",3,3,1,24,2,"Natural Gas",6435,2
"2629",1,2,1,12,3,"Natural Gas",1256,2
"2630",2,3,1,23,1,"Natural Gas",4400,5
"2631",1,4,1,23,2,"Electricity",1826,2
"2632",1,4,1,16,4,"Natural Gas",5993,2
"2633",0,1,NA,6,3,"Natural Gas",990,2
"2634",1,2,1,9,2,"Electricity",2730,2
"2635",3,5,1,23,1,"Natural Gas",10148,5
"2636",1,2,1,14,4,"Natural Gas",693,5
"2637",3,3,1,12,4,"Natural Gas",2052,3
"2638",2,1,1,15,2,"Fuel Oil",1372,2
"2639",0,0,NA,7,NA,"Electricity",1218,3
"2640",0,1,NA,1,5,"Natural Gas",1111,1
"2641",1,2,1,18,4,"Natural Gas",1980,2
"2642",4,1,1,23,3,"Electricity",1539,2
"2643",2,3,1,17,3,"Natural Gas",2262,4
"2644",1,2,1,10,4,"Electricity",1120,3
"2645",0,2,NA,7,3,"Natural Gas",2961,2
"2646",1,1,1,19,2,"Electricity",1344,1
"2647",2,3,1,23,2,"Electricity",1960,2
"2648",2,2,1,24,3,"Natural Gas",3987,2
"2649",1,2,1,18,3,"Electricity",1800,2
"2650",1,1,1,4,5,"Electricity",330,1
"2651",1,2,1,13,4,"Natural Gas",3136,2
"2652",0,2,NA,8,3,"Natural Gas",3746,1
"2653",2,3,1,24,3,"Propane",4831,4
"2654",0,3,NA,2,3,"Natural Gas",3010,3
"2655",3,1,1,5,4,"Natural Gas",2860,3
"2656",1,1,1,18,2,"Natural Gas",840,1
"2657",1,5,1,9,5,"Electricity",1728,2
"2658",0,2,NA,12,2,"Electricity",2526,2
"2659",2,2,1,13,2,"Natural Gas",880,2
"2660",1,3,1,14,4,"Electricity",1434,2
"2661",1,4,1,4,3,"Natural Gas",989,7
"2662",2,5,1,14,2,"Natural Gas",1800,4
"2663",0,4,NA,7,5,"Natural Gas",1537,4
"2664",1,3,1,1,5,"Fuel Oil",800,4
"2665",2,2,1,14,3,"Natural Gas",2907,4
"2666",1,3,1,6,4,"Electricity",3588,4
"2667",1,2,1,9,2,"Electricity",1159,1
"2668",1,3,1,23,2,"Electricity",2564,4
"2669",0,3,NA,9,5,"Natural Gas",1248,7
"2670",4,2,1,24,2,"Solar",7568,2
"2671",1,2,1,9,3,"Natural Gas",1554,3
"2672",1,2,1,10,3,"Fuel Oil",2632,4
"2673",1,1,1,24,1,"Propane",3574,2
"2674",0,2,NA,11,4,"Electricity",1750,12
"2675",0,2,NA,5,4,"Natural Gas",502,1
"2676",0,1,NA,8,4,"Natural Gas",1452,2
"2677",2,4,1,23,3,"Natural Gas",3821,2
"2678",0,1,NA,4,5,"Electricity",1296,7
"2679",2,1,1,9,2,"Electricity",1014,2
"2680",1,2,1,11,3,"Electricity",1197,1
"2681",2,3,1,23,5,"Electricity",1500,2
"2682",0,4,NA,11,3,"Natural Gas",3059,1
"2683",1,2,1,8,3,"Electricity",3564,1
"2684",0,3,NA,11,3,"Electricity",1144,3
"2685",2,3,1,12,3,"Electricity",1177,3
"2686",1,2,1,10,4,"Natural Gas",691,2
"2687",0,2,NA,8,3,"Fuel Oil",2523,2
"2688",1,1,1,10,3,"Natural Gas",2124,1
"2689",4,4,1,18,3,"Natural Gas",2066,4
"2690",1,2,1,24,3,"Electricity",2296,1
"2691",2,3,1,8,4,"Electricity",644,3
"2692",1,2,1,23,2,"Electricity",1667,1
"2693",0,4,NA,8,2,"Electricity",1680,3
"2694",3,3,1,24,4,"Natural Gas",3424,2
"2695",3,2,1,24,2,"Natural Gas",6023,4
"2696",1,2,1,15,5,"Electricity",3000,2
"2697",1,3,1,12,3,"Natural Gas",3752,2
"2698",4,5,1,24,4,"Natural Gas",2245,4
"2699",1,5,1,12,3,"Electricity",3100,2
"2700",0,3,NA,13,4,"Electricity",1216,6
"2701",0,4,NA,7,3,"Electricity",1428,1
"2702",0,1,NA,20,4,"Electricity",1916,2
"2703",1,3,1,12,1,"Natural Gas",2516,4
"2704",1,1,0,5,2,"Electricity",590,1
"2705",2,2,1,12,3,"Natural Gas",2193,2
"2706",1,2,1,24,1,"Natural Gas",1937,2
"2707",4,3,1,24,2,"Natural Gas",5305,2
"2708",4,5,1,24,5,"Natural Gas",3954,3
"2709",2,5,1,15,4,"Electricity",2201,2
"2710",3,4,1,15,2,"Electricity",2304,2
"2711",1,3,1,20,4,"Electricity",1292,3
"2712",3,2,1,24,1,"Natural Gas",2592,3
"2713",4,7,1,24,2,"Natural Gas",4224,2
"2714",0,1,NA,4,2,"Electricity",390,3
"2715",1,1,1,12,2,"Electricity",3133,1
"2716",0,1,NA,11,3,"Electricity",3032,1
"2717",2,2,1,4,2,"Fuel Oil",2336,3
"2718",2,4,1,5,2,"Natural Gas",3442,2
"2719",0,3,NA,6,5,"Electricity",1456,3
"2720",2,2,1,16,3,"Natural Gas",1683,5
"2721",1,4,1,6,4,"Electricity",1086,3
"2722",2,1,1,8,3,"Electricity",723,2
"2723",2,1,1,10,1,"Electricity",926,1
"2724",0,1,NA,5,5,"Electricity",1440,2
"2725",1,5,1,12,3,"Natural Gas",2980,3
"2726",0,1,NA,5,2,"Natural Gas",1056,1
"2727",1,1,1,9,3,"Natural Gas",2200,2
"2728",2,3,1,20,5,"Electricity",1904,4
"2729",1,1,1,7,4,"Natural Gas",1012,1
"2730",3,3,1,21,5,"Natural Gas",3774,2
"2731",0,6,NA,5,3,"Electricity",1296,6
"2732",0,2,NA,8,5,"Natural Gas",1517,1
"2733",5,5,1,24,3,"Natural Gas",4500,2
"2734",1,2,1,16,3,"Electricity",2880,3
"2735",1,2,1,13,3,"Natural Gas",1457,2
"2736",1,2,1,23,4,"Natural Gas",1344,4
"2737",1,2,1,23,3,"Natural Gas",3143,4
"2738",2,3,1,24,4,"Natural Gas",2790,3
"2739",1,2,0,9,4,"Natural Gas",1700,2
"2740",0,2,NA,5,3,"Natural Gas",674,1
"2741",3,3,1,13,5,"Natural Gas",2223,3
